Item,Location,Quantity,Primary Category
Foldable Hanging Trash Can 6L - Cream White,Shelf 1 rack B,22,KK PLUS - KITCHEN & DINING
Wall Mounted Hook 7,Shelf 1 rack C,55,KK PLUS - HOME & LIVING
Wall Mounted Hook 6,Shelf 1 rack D,54,KK PLUS - HOME & LIVING
Wall Mounted Hook 5,Shelf 1 rack A,61,KK PLUS - HOME & LIVING
Wall Mounted Hook 4,Shelf 1 rack B,27,KK PLUS - HOME & LIVING
Wall Mounted Hook 3,Shelf 1 rack C,61,KK PLUS - HOME & LIVING
French Fries Sealing Clip with Magnet,Shelf 1 rack D,121,KK PLUS - KITCHEN & DINING
Kitchen Towel Hanger - White,Shelf 1 rack A,32,KK PLUS - KITCHEN & DINING
Kitchen Towel Hanger - Black,Shelf 1 rack A,84,KK PLUS - KITCHEN & DINING
Traceless Iron Hook - White,Shelf 1 rack B,2,KK PLUS - KITCHEN & DINING
Traceless Iron Hook - Black,Shelf 1 rack C,0,KK PLUS - KITCHEN & DINING
Transparent Measuring Spoon - Orange,Shelf 1 rack D,69,KK PLUS - KITCHEN & DINING
Transparent Measuring Spoon - Light Blue,Shelf 1 rack A,74,KK PLUS - KITCHEN & DINING
Transparent Measuring Spoon - White,Shelf 1 rack B,32,KK PLUS - KITCHEN & DINING
Transparent Measuring Spoon - Dark Blue,Shelf 1 rack C,63,KK PLUS - KITCHEN & DINING
PE Cling Film 30x30,Shelf 1 rack D,195,KK PLUS - KITCHEN & DINING
PE Cling Film Cutter Magnet - Blue,Shelf 1 rack A,16,KK PLUS - KITCHEN & DINING
PE Cling Film Cutter Magnet - Black,Shelf 1 rack A,14,KK PLUS - KITCHEN & DINING
PE Cling Film Cutter Magnet - Yellow,Shelf 1 rack B,0,KK PLUS - KITCHEN & DINING
PE Cling Film Cutter Normal - Blue,Shelf 1 rack C,0,KK PLUS - KITCHEN & DINING
PE Cling Film Cutter Normal - Black,Shelf 1 rack D,28,KK PLUS - KITCHEN & DINING
PE Cling Film Cutter Normal - Yellow,Shelf 1 rack A,0,KK PLUS - KITCHEN & DINING
Multifunction Vege Shredder Slicer Dicer 5 Knife + Storage Box,Shelf 1 rack B,25,KK PLUS - KITCHEN & DINING
Multifunction Vege Shredder Slicer Dicer 3 Knife,Shelf 1 rack C,43,KK PLUS - KITCHEN & DINING
Adjustable SS Vege Drain Basket Large - Black,Shelf 1 rack D,0,KK PLUS - KITCHEN & DINING
Adjustable SS Vege Drain Basket Large - Grey,Shelf 1 rack A,0,KK PLUS - KITCHEN & DINING
Adjustable SS Vege Drain Basket Small - Grey,Shelf 1 rack A,25,KK PLUS - KITCHEN & DINING
Adjustable PP Vege Drain Basket - Grey,Shelf 1 rack B,0,KK PLUS - KITCHEN & DINING
Adjustable PP Vege Drain Basket - White,Shelf 1 rack C,1,KK PLUS - KITCHEN & DINING
Pull Up Rings,Shelf 1 rack D,8,KK PLUS - FITNESS & SPORT
Pull Up Bar C - 120-148cm,Shelf 1 rack A,9,KK PLUS - FITNESS & SPORT
Pull Up Bar B - 92-125cm,Shelf 1 rack B,9,KK PLUS - FITNESS & SPORT
Pull Up Bar A - 74-98cm,Shelf 1 rack C,7,KK PLUS - FITNESS & SPORT
Multifunction Fitness Tension Rope only,Shelf 1 rack D,32,KK PLUS - FITNESS & SPORT
Multifunction Fitness Training Tension Rope (11 in 1),Shelf 1 rack A,49,KK PLUS - FITNESS & SPORT
Aerial Yoga Swing Hammock - Green,Shelf 1 rack A,18,KK PLUS - FITNESS & SPORT
Aerial Yoga Swing Hammock - Purple,Shelf 1 rack B,17,KK PLUS - FITNESS & SPORT
Aerial Yoga Swing Hammock - Pink,Shelf 1 rack C,17,KK PLUS - FITNESS & SPORT
Fitness Elastic Band Belt - Pink,Shelf 1 rack D,39,KK PLUS - FITNESS & SPORT
Fitness Elastic Band Belt - Purple,Shelf 1 rack A,39,KK PLUS - FITNESS & SPORT
Fitness Elastic Band Belt - Blue,Shelf 1 rack B,40,KK PLUS - FITNESS & SPORT
Pilates Sliding Plate - Blue,Shelf 1 rack C,10,KK PLUS - FITNESS & SPORT
Pilates Sliding Plate - Black,Shelf 1 rack D,10,KK PLUS - FITNESS & SPORT
Pilates Sliding Plate - Yellow,Shelf 1 rack A,14,KK PLUS - FITNESS & SPORT
Pilates Sliding Plate - Pink,Shelf 1 rack A,7,KK PLUS - FITNESS & SPORT
Pilates Sliding Plate - Green,Shelf 1 rack B,8,KK PLUS - FITNESS & SPORT
Pilates Sliding Plate - Purple,Shelf 1 rack C,9,KK PLUS - FITNESS & SPORT
Kitchen Anti Scalding Clip - Handle,Shelf 1 rack D,21,KK PLUS - KITCHEN & DINING
Kitchen Anti Scalding Clip - Bowl,Shelf 1 rack A,0,KK PLUS - KITCHEN & DINING
Kitchen Anti Scalding Clip - Plate,Shelf 1 rack B,7,KK PLUS - KITCHEN & DINING
Laundry Bag Large - 60x50cm,Shelf 1 rack C,87,KK PLUS - HOME & LIVING
Laundry Bag Medium - 50x40cm,Shelf 1 rack D,96,KK PLUS - HOME & LIVING
Laundry Bag Small - 35x25cm,Shelf 1 rack A,104,KK PLUS - HOME & LIVING
Mini Parcel Cutter Knife - Rabbit,Shelf 1 rack A,50,KK PLUS - OFFICE ACCESSORIES
Mini Parcel Cutter Knife - Bear,Shelf 1 rack B,48,KK PLUS - OFFICE ACCESSORIES
Mini Parcel Cutter Knife - Brown Egg,Shelf 1 rack C,55,KK PLUS - OFFICE ACCESSORIES
Mini Parcel Cutter Knife - Yellow Egg,Shelf 1 rack D,38,KK PLUS - OFFICE ACCESSORIES
Travel Refill Bottle 4x60ml - Orange,Shelf 1 rack A,27,KK PLUS - HOME & LIVING
Travel Refill Bottle 4x60ml - Purple,Shelf 1 rack B,4,KK PLUS - HOME & LIVING
Steel Wire Cleaning Cloth 3 Layer 20x20cm 3 in 1 Set,Shelf 1 rack C,0,KK PLUS - KITCHEN & DINING
Steel Wire Cleaning Cloth 1 Layer 20x20cm 3 in 1 Set,Shelf 1 rack D,253,KK PLUS - KITCHEN & DINING
Storage Trolley 4 Layer Big - Black,Shelf 1 rack A,11,KK PLUS - HOME & LIVING
Storage Trolley 4 Layer Big - White,Shelf 1 rack A,11,KK PLUS - HOME & LIVING
Storage Trolley 4 Layer Small - Black,Shelf 1 rack B,20,KK PLUS - HOME & LIVING
Storage Trolley 4 Layer Small - White,Shelf 1 rack C,19,KK PLUS - HOME & LIVING
Storage Trolley 3 Layer Big - Black,Shelf 1 rack D,20,KK PLUS - HOME & LIVING
Storage Trolley 3 Layer Big - White,Shelf 1 rack A,17,KK PLUS - HOME & LIVING
Storage Trolley 3 Layer Small - Black,Shelf 1 rack B,19,KK PLUS - HOME & LIVING
Storage Trolley 3 Layer Small - White,Shelf 1 rack C,18,KK PLUS - HOME & LIVING
Face Cleaning Wipes - Green Tea 10pcs,Shelf 1 rack D,960,KK PLUS - HOME & LIVING
Face Cleaning Wipes - Cooling 10pcs,Shelf 1 rack A,1540,KK PLUS - HOME & LIVING
Kitchen Anti Clogging Sink Filter C - 100pcs,Shelf 1 rack A,341,KK PLUS - KITCHEN & DINING
Kitchen Anti Clogging Sink Filter B - 50pcs,Shelf 1 rack B,106,KK PLUS - KITCHEN & DINING
Kitchen Anti Clogging Sink Filter A - 10pcs,Shelf 1 rack C,177,KK PLUS - KITCHEN & DINING
Nordic Style Plastic Vase - E,Shelf 1 rack D,20,KK PLUS - HOME & LIVING
Nordic Style Plastic Vase - D,Shelf 1 rack A,20,KK PLUS - HOME & LIVING
Nordic Style Plastic Vase - C,Shelf 1 rack B,20,KK PLUS - HOME & LIVING
Nordic Style Plastic Vase - B,Shelf 1 rack C,20,KK PLUS - HOME & LIVING
Nordic Style Plastic Vase - A,Shelf 1 rack D,20,KK PLUS - HOME & LIVING
Drawstring Garbage Bag Kitchen - 45pcs,Shelf 1 rack A,71,KK PLUS - KITCHEN & DINING
Drawstring Garbage Bag Living Bear - 72pcs,Shelf 1 rack A,71,KK PLUS - KITCHEN & DINING
Drawstring Garbage Bag Living Rabbit - 60pcs,Shelf 1 rack B,66,KK PLUS - KITCHEN & DINING
Drawstring Garbage Bag Living Kitty - 60pcs,Shelf 1 rack C,73,KK PLUS - KITCHEN & DINING
Drawstring Garbage Bag Toilet Rabbit - 60pcs,Shelf 1 rack D,42,KK PLUS - KITCHEN & DINING
Drawstring Garbage Bag Toilet Rabbit - 15pcs,Shelf 1 rack A,70,KK PLUS - KITCHEN & DINING
Toothbrush Rack - Brown,Shelf 1 rack B,48,KK PLUS - BATH & TOILET
Toothbrush Rack - Beige White,Shelf 1 rack C,45,KK PLUS - BATH & TOILET
[CARTON] Chi Forest Lychee Feezy 480ml x 15's,Shelf 1 rack D,5,KKMART.MY - BEVERAGES
[CARTON] Alienergy Electrolyte Water White Peach 500ml x 15's,Shelf 1 rack A,2,KKMART.MY - BEVERAGES
